## This file contains the the median and 95% range (2.5th and 97.5th percentiles) of the full 7000-member ensemble accross all methods of the PAGES2k Consortium 2019 global mean temperature reconstructions.
## We recommend working with the full ensemble provided in the other files in this data compilation for a more robust analysis of GMST.
## The columns in this table are: Year CE, raw instrumental target data, reconstruction ensemble 50th, 2.5th and 97.5th percentiles, 31-year butterworth filtered instrumental target data, 31-year butterworth filtered reconstruction 50th, 2.5th and 97.5th percentiles
## All values are °C wrt 1961-1990 over the April-March annual average.
Year	Cowtan & Way instrumental target	Full ensemble median	Full ensemble 2.5th percentile	Full ensemble 97.5th percentile	Cowtan & Way instrumental target 31-year filtered	31-year filtered full ensemble median	31-year filtered full ensemble 2.5th percentile	31-year filtered full ensemble 97.5th percentile
1	NA	-0.369	-0.7515	0.0176	NA	NA	NA	NA
2	NA	-0.3548	-0.7328	0.0292	NA	NA	NA	NA
3	NA	-0.312	-0.7308	0.0821	NA	NA	NA	NA
4	NA	-0.3041	-0.6638	0.1169	NA	NA	NA	NA
5	NA	-0.3034	-0.6808	0.0913	NA	NA	NA	NA
6	NA	-0.2277	-0.6438	0.1492	NA	NA	NA	NA
7	NA	-0.2207	-0.6725	0.1595	NA	NA	NA	NA
8	NA	-0.2703	-0.6887	0.1591	NA	NA	NA	NA
9	NA	-0.2719	-0.6688	0.1088	NA	NA	NA	NA
10	NA	-0.2658	-0.6738	0.1129	NA	NA	NA	NA
11	NA	-0.2677	-0.6469	0.0896	NA	NA	NA	NA
12	NA	-0.3156	-0.7469	0.0889	NA	NA	NA	NA
13	NA	-0.269	-0.6423	0.1502	NA	NA	NA	NA
14	NA	-0.233	-0.615	0.1616	NA	NA	NA	NA
15	NA	-0.2719	-0.6708	0.1045	NA	NA	NA	NA
16	NA	-0.3368	-0.6918	0.0341	NA	-0.2662	-0.5154	0.0628
17	NA	-0.2301	-0.618	0.1014	NA	-0.2647	-0.5146	0.0632
18	NA	-0.2122	-0.6138	0.1349	NA	-0.2638	-0.512	0.065
19	NA	-0.2337	-0.6019	0.1092	NA	-0.2621	-0.5109	0.0673
20	NA	-0.3365	-0.7118	0.0394	NA	-0.2602	-0.5122	0.0684
21	NA	-0.3445	-0.8148	0.0299	NA	-0.258	-0.5113	0.0699
22	NA	-0.2255	-0.6188	0.1103	NA	-0.2573	-0.5107	0.071
23	NA	-0.2774	-0.6998	0.0663	NA	-0.2558	-0.5113	0.0733
24	NA	-0.2197	-0.6888	0.1691	NA	-0.2547	-0.5105	0.075
25	NA	-0.2287	-0.6148	0.0957	NA	-0.2532	-0.5095	0.0757
26	NA	-0.1778	-0.6158	0.1384	NA	-0.2515	-0.5089	0.0788
27	NA	-0.093	-0.5003	0.2925	NA	-0.2499	-0.5089	0.0793
28	NA	-0.2339	-0.6178	0.1023	NA	-0.2488	-0.5086	0.0797
29	NA	-0.335	-0.7861	0.0514	NA	-0.2482	-0.506	0.0811
30	NA	-0.207	-0.6478	0.1242	NA	-0.2463	-0.5046	0.0811
31	NA	-0.2369	-0.6728	0.1121	NA	-0.2445	-0.5039	0.0838
32	NA	-0.1279	-0.5188	0.232	NA	-0.242	-0.5029	0.0854
33	NA	-0.1931	-0.6279	0.1645	NA	-0.2396	-0.5031	0.0865
34	NA	-0.1117	-0.5278	0.2404	NA	-0.2368	-0.5024	0.0873
35	NA	-0.0936	-0.5278	0.257	NA	-0.2346	-0.5031	0.0886
36	NA	-0.2057	-0.7088	0.2194	NA	-0.233	-0.5014	0.0891
37	NA	-0.1835	-0.6348	0.1746	NA	-0.2313	-0.5029	0.0891
38	NA	-0.1491	-0.6548	0.209	NA	-0.2299	-0.5001	0.0901
39	NA	-0.1071	-0.6028	0.2982	NA	-0.2286	-0.4987	0.0901
40	NA	-0.2378	-0.7918	0.1574	NA	-0.2274	-0.4995	0.0892
41	NA	-0.1316	-0.6028	0.2729	NA	-0.2268	-0.4971	0.0879
42	NA	-0.1245	-0.587	0.2139	NA	-0.2261	-0.4965	0.0873
43	NA	-0.1353	-0.631	0.1902	NA	-0.2259	-0.4951	0.0873
44	NA	-0.1994	-0.6846	0.1517	NA	-0.2257	-0.4946	0.0876
45	NA	-0.1781	-0.6888	0.1772	NA	-0.2258	-0.4928	0.0885
46	NA	-0.2028	-0.6888	0.1347	NA	-0.2259	-0.4935	0.091
47	NA	-0.2238	-0.7196	0.1163	NA	-0.2262	-0.491	0.0936
48	NA	-0.2875	-0.7138	0.0698	NA	-0.2265	-0.489	0.0966
49	NA	-0.2086	-0.5549	0.1341	NA	-0.2262	-0.486	0.1006
50	NA	-0.2769	-0.6533	0.0927	NA	-0.2259	-0.4858	0.1045
51	NA	-0.2758	-0.6668	0.1024	NA	-0.226	-0.4857	0.1085
52	NA	-0.2353	-0.6286	0.1441	NA	-0.2258	-0.4846	0.1131
53	NA	-0.2087	-0.6065	0.1678	NA	-0.2254	-0.4839	0.1174
54	NA	-0.1013	-0.4989	0.2968	NA	-0.2247	-0.4828	0.1218
55	NA	-0.1778	-0.5801	0.2672	NA	-0.2236	-0.479	0.126
56	NA	-0.2424	-0.6399	0.1551	NA	-0.2217	-0.4768	0.1304
57	NA	-0.2721	-0.6799	0.1791	NA	-0.22	-0.4719	0.1339
58	NA	-0.1776	-0.6218	0.2752	NA	-0.2181	-0.4705	0.1368
59	NA	-0.301	-0.7039	0.2645	NA	-0.2159	-0.4685	0.1397
60	NA	-0.1737	-0.5839	0.3563	NA	-0.2131	-0.4655	0.1422
61	NA	-0.0703	-0.4893	0.5259	NA	-0.2107	-0.4637	0.1439
62	NA	-0.2218	-0.5659	0.3091	NA	-0.2088	-0.4588	0.1452
63	NA	-0.1623	-0.5259	0.3305	NA	-0.2062	-0.4555	0.1459
64	NA	-0.0599	-0.4338	0.3862	NA	-0.204	-0.4514	0.1464
65	NA	-0.1619	-0.5311	0.2621	NA	-0.2018	-0.449	0.146
66	NA	-0.1756	-0.6478	0.3246	NA	-0.1992	-0.4478	0.1445
67	NA	-0.1728	-0.5939	0.2427	NA	-0.198	-0.4461	0.1428
